epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.34766,2.22276,4.84467,3.45006,2.09475,0.98768,0.44737,0.49722,0.41622,0.98768,0.44737,0.49173,0.36052,1.95193,4.57159,2.64891,1.93629,0.00025722,0.00025722,0.00025722
2,7.50295,1.83822,3.08313,2.41611,1.7661,0.50625,0.45613,0.43485,0.28123,0.46805,0.41313,0.41538,0.22129,2.21634,3.89244,4.50164,2.16316,0.000523496,0.000523496,0.000523496
3,10.6561,1.84754,2.81451,2.26383,1.74168,0.23573,0.29675,0.19197,0.06366,0.19563,0.29268,0.17542,0.06321,2.27882,3.82976,3.21923,2.2065,0.000784395,0.000784395,0.000784395
4,13.7416,1.84907,2.62574,2.18426,1.7378,0.43716,0.24173,0.18053,0.08868,0.12412,0.42903,0.17703,0.0651,2.22203,3.92712,6.04858,2.27733,0.00103992,0.00103992,0.00103992
5,16.834,1.87891,2.70475,2.31505,1.72714,0.06746,0.22076,0.07563,0.02992,0.07168,0.22014,0.07437,0.02857,2.44853,4.27004,5.542,2.45987,0.00129007,0.00129007,0.00129007
6,19.9893,1.89524,2.82806,2.18399,1.75916,0.22823,0.32271,0.18677,0.07603,0.29449,0.31872,0.22587,0.07893,2.19042,5.06437,13.1484,2.30626,0.00135826,0.00135826,0.00135826
7,23.0257,1.87815,2.8539,2.17263,1.81182,0.18867,0.32566,0.25472,0.10369,0.24189,0.35493,0.34014,0.09396,2.30572,4.55331,16.9395,2.6273,0.00134412,0.00134412,0.00134412
8,26.1076,1.93262,2.72122,2.24771,1.80175,0.10871,0.34211,0.10032,0.04614,0.09244,0.28947,0.06932,0.02672,2.22713,17.1567,65.1439,3.92281,0.00132997,0.00132997,0.00132997
9,29.188,1.79626,2.66707,2.15547,1.75738,0.23172,0.41633,0.21779,0.12018,0.28571,0.41048,0.25303,0.11569,2.3086,15.8719,16.9663,2.64627,0.00131582,0.00131582,0.00131582
10,32.3683,1.81483,2.47449,2.16049,1.76511,0.20273,0.47925,0.16724,0.06918,0.2179,0.40418,0.16467,0.06178,2.38891,5.19374,3.75289,2.60626,0.00130168,0.00130168,0.00130168
11,35.5236,1.76152,2.46677,1.96768,1.68697,0.47549,0.42864,0.38203,0.23216,0.47303,0.42864,0.37977,0.2251,2.08793,3.47336,3.00425,2.13032,0.00128753,0.00128753,0.00128753
12,38.615,1.7809,2.45858,2.07546,1.70415,0.35345,0.5053,0.42532,0.25794,0.35245,0.51951,0.41747,0.25729,2.15693,3.76712,2.77526,2.14793,0.00127338,0.00127338,0.00127338
13,41.7337,1.75381,2.34578,2.01137,1.69891,0.4539,0.54926,0.502,0.30162,0.58761,0.49545,0.47947,0.28512,2.09044,4.09473,2.54025,2.06307,0.00125923,0.00125923,0.00125923
14,44.8316,1.64481,2.17953,1.86409,1.64139,0.52621,0.52965,0.56298,0.40039,0.54798,0.51585,0.54816,0.36386,1.96885,3.34705,2.23263,1.93176,0.00124509,0.00124509,0.00124509
15,48.0931,1.72638,2.35311,1.87831,1.63392,0.46816,0.50827,0.49333,0.29172,0.49564,0.52641,0.51681,0.26657,2.08516,3.22197,2.62589,2.15186,0.00123094,0.00123094,0.00123094
16,51.2088,1.64351,2.30595,1.85955,1.61905,0.19911,0.31899,0.20867,0.13787,0.20102,0.31748,0.21704,0.11363,2.13491,3.0294,3.17623,2.14531,0.00121679,0.00121679,0.00121679
17,54.4439,1.73834,2.33664,1.86679,1.67235,0.27078,0.51285,0.35313,0.23168,0.29631,0.4774,0.35996,0.24046,2.13645,2.80144,2.60131,2.08357,0.00120265,0.00120265,0.00120265
18,57.5354,1.66853,2.17954,1.83075,1.61955,0.66395,0.54352,0.57061,0.38442,0.68638,0.54673,0.56564,0.38179,1.98486,2.99551,2.16588,1.93345,0.0011885,0.0011885,0.0011885
19,60.6321,1.66621,2.15559,1.77693,1.63239,0.42743,0.57878,0.52379,0.36209,0.47889,0.57625,0.5119,0.358,1.93749,3.1801,2.20025,1.91837,0.00117435,0.00117435,0.00117435
20,63.6939,1.59974,2.07633,1.71756,1.57485,0.45887,0.52615,0.51641,0.34666,0.42883,0.54706,0.52,0.3636,1.93215,2.95719,2.15148,1.8831,0.00116021,0.00116021,0.00116021
